Ticker,Name,Sector,Country
ANIK,"Anika Therapeutics, Inc.",Healthcare,United States
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,United States
ANIX,"Anixa Biosciences, Inc.",Healthcare,United States
ANNX,"Annexon, Inc.",Healthcare,United States
ANPC,"AnPac Bio-Medical Science Co., Ltd.",Healthcare,China
ANSS,"ANSYS, Inc.",Technology,United States
ANTE,AirNet Technology Inc.,Communication Services,China
ANTM,"Anthem, Inc.",Healthcare,United States
ANTX,"AN2 Therapeutics, Inc.",Healthcare,United States
ANVS,"Annovis Bio, Inc.",Healthcare,United States
ANY,Sphere 3D Corp.,Technology,Canada
ANZU,Anzu Special Acquisition Corp I,Financial Services,United States
AOGO,Arogo Capital Acquisition Corp.,Financial Services,United States
AOMR,"Angel Oak Mortgage, Inc.",Real Estate,United States
AON,Aon plc,Financial Services,Ireland
AORT,"Artivion, Inc.",Healthcare,United States
AOS,A. O. Smith Corporation,Industrials,United States
AOSL,Alpha and Omega Semiconductor Limited,Technology,United States
AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,United States
AP,Ampco-Pittsburgh Corporation,Industrials,United States
APA,APA Corporation,Energy,United States
APAC,StoneBridge Acquisition Corporation,Financial Services,United States
APAM,Artisan Partners Asset Management Inc.,Financial Services,United States
APCA,AP Acquisition Corp.,Financial Services,Hong Kong
APCX,AppTech Payments Corp.,Technology,United States
APD,"Air Products and Chemicals, Inc.",Basic Materials,United States
APDN,"Applied DNA Sciences, Inc.",Healthcare,United States
APEI,"American Public Education, Inc.",Consumer Defensive,United States
APEN,"Apollo Endosurgery, Inc.",Healthcare,United States
APG,APi Group Corporation,Industrials,United States
APGB,Apollo Strategic Growth Capital II,Financial Services,United States
APH,Amphenol Corporation,Technology,United States
API,"Agora, Inc.",Technology,China
APLE,"Apple Hospitality REIT, Inc.",Real Estate,United States
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,United States
APLT,"Applied Therapeutics, Inc.",Healthcare,United States
APM,Aptorum Group Limited,Healthcare,United Kingdom
APMI,AxonPrime Infrastructure Acquisition Corporation,Financial Services,United States
APN,Apeiron Capital Investment Corp.,Financial Services,United States
APO,"Apollo Global Management, Inc.",Financial Services,United States
APOG,"Apogee Enterprises, Inc.",Industrials,United States
APP,AppLovin Corporation,Technology,United States
APPF,"AppFolio, Inc.",Technology,United States
APPH,"AppHarvest, Inc.",Consumer Defensive,United States
APPN,Appian Corporation,Technology,United States
APPS,"Digital Turbine, Inc.",Technology,United States
APRE,"Aprea Therapeutics, Inc.",Healthcare,United States
APRN,"Blue Apron Holdings, Inc.",Consumer Cyclical,United States
APSG,Apollo Strategic Growth Capital,Financial Services,United States
APT,"Alpha Pro Tech, Ltd.",Industrials,Canada
APTM,Alpha Partners Technology Merger Corp.,Financial Services,United States
APTO,Aptose Biosciences Inc.,Healthcare,Canada
APTS,"Preferred Apartment Communities, Inc.",Real Estate,United States
APTV,Aptiv PLC,Consumer Cyclical,Ireland
APTX,Aptinyx Inc.,Healthcare,United States
APVO,Aptevo Therapeutics Inc.,Healthcare,United States
APWC,Asia Pacific Wire & Cable Corporation Limited,Industrials,Taiwan
APXI,APx Acquisition Corp. I,Financial Services,Mexico
APYX,Apyx Medical Corporation,Healthcare,United States
AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,United States
AQMS,"Aqua Metals, Inc.",Industrials,United States
AQN,Algonquin Power & Utilities Corp.,Utilities,Canada
