Symbol,Name,Industry,Market Cap,Sector,Country
SBH,"Sally Beauty Holdings, Inc.",Specialty Retail,1587894899.0,Consumer Cyclical,United States
SBII,Sandbridge X2 Corp.,Blank Check / SPAC,290575705.0,Financial Services,United States
SBLK,Star Bulk Carriers Corp.,Marine,3342559467.0,Industrials,Greece
SBNY,Signature Bank,Banks,12803330880.0,Financial Services,United States
SBOW,"SilverBow Resources, Inc.","Oil, Gas & Consumable Fuels",685718334.0,Energy,United States
SBR,Sabine Royalty Trust,"Oil, Gas & Consumable Fuels",1037608709.0,Energy,United States
SBRA,"Sabra Health Care REIT, Inc.",Equity Real Estate Investment Trusts ...,3205655538.0,Real Estate,United States
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Water Utilities,6911150072.0,Utilities,Brazil
SBSI,"Southside Bancshares, Inc.",Banks,1263675506.0,Financial Services,United States
SBSW,Sibanye Stillwater Limited,Metals & Mining,9140214774.0,Basic Materials,South Africa
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",Thrifts & Mortgage Finance,329741278.0,Financial Services,United States
SBTX,"Silverback Therapeutics, Inc.",Biotechnology,117385295.0,Healthcare,United States
SBUX,Starbucks Corporation,"Hotels, Restaurants & Leisure",85432573923.0,Consumer Cyclical,United States
SCAQ,Stratim Cloud Acquisition Corp.,Blank Check / SPAC,304687480.0,Financial Services,United States
SCCO,Southern Copper Corporation,Metals & Mining,47297646567.0,Basic Materials,United States
SCHL,Scholastic Corporation,Media,1273873022.0,Communication Services,United States
SCHN,"Schnitzer Steel Industries, Inc.",Metals & Mining,1105616254.0,Basic Materials,United States
SCHW,The Charles Schwab Corporation,Capital Markets,131000000000.0,Financial Services,United States
SCI,Service Corporation International,Diversified Consumer Services,10959133647.0,Consumer Cyclical,United States
SCKT,"Socket Mobile, Inc.","Technology Hardware, Storage & Periph...",21169323.0,Technology,United States
SCL,Stepan Company,Chemicals,2456461540.0,Basic Materials,United States
SCLE,Broadscale Acquisition Corp.,Blank Check / SPAC,422625019.0,Financial Services,United States
SCM,Stellus Capital Investment Corporation,Capital Markets,252337556.0,Financial Services,United States
SCMA,Seaport Calibre Materials Acquisition Corp.,Blank Check / SPAC,162012509.0,Financial Services,United States
SCOA,ScION Tech Growth I,Blank Check / SPAC,707968759.0,Financial Services,United Kingdom
SCOB,ScION Tech Growth II,Blank Check / SPAC,422625019.0,Financial Services,United Kingdom
SCOR,"comScore, Inc.",Media,155106063.0,Communication Services,United States
SCPH,scPharmaceuticals Inc.,Pharmaceuticals,134120350.0,Healthcare,United States
SCPL,SciPlay Corporation,Entertainment,340148277.0,Communication Services,United States
SCPS,Scopus BioPharma Inc.,Biotechnology,8256308.0,Healthcare,United States
SCRM,Screaming Eagle Acquisition Corp.,Blank Check / SPAC,904687480.0,Financial Services,United States
SCS,Steelcase Inc.,Commercial Services & Supplies,1371972731.0,Industrials,United States
SCSC,"ScanSource, Inc.","Electronic Equipment, Instruments & C...",966137147.0,Technology,United States
SCTL,"Societal CDMO, Inc.",Drug Manufacturers-Specialty & Generic,41474467.0,Healthcare,United States
SCU,"Sculptor Capital Management, Inc.",Capital Markets,309811573.0,Financial Services,United States
SCUA,Sculptor Acquisition Corp I,Blank Check / SPAC,284165009.0,Financial Services,United States
SCVL,"Shoe Carnival, Inc.",Specialty Retail,789551416.0,Consumer Cyclical,United States
SCVX,SCVX Corp.,Shell Companies,94942999.0,Financial Services,United States
SCWX,SecureWorks Corp.,Software,896124863.0,Technology,United States
SCX,The L.S. Starrett Company,Machinery,48534442.0,Industrials,United States
